-8.751686987802049789e-01	-8.751686987802045348e-01	-8.751686988086043728e-01
-4.829678635723386293e+00	-4.829678635723384517e+00	-4.829678636406276482e+00
-8.404150385730401851e+00	-8.404150385730401851e+00	-8.404150385208321694e+00
-1.163219746635559915e+01	-1.163219746635559204e+01	-1.163219747410570193e+01
-1.467062352668225245e+01	-1.467062352668236436e+01	-1.467062373709305056e+01
-1.759707819527331196e+01	-1.759707819527331907e+01	-1.759707700933955010e+01
-2.045061460834383027e+01	-2.045061460835099965e+01	-2.045058397991392951e+01
-2.325316454627665408e+01	-2.325316454628510954e+01	-2.325341464925323720e+01
-2.601829414573136745e+01	-2.601829414603092872e+01	-2.601861961015940850e+01
-2.875492673877864647e+01	-2.875492673913278807e+01	-2.846764014451787617e+01
-3.146915232863820222e+01	-3.146915234178530696e+01	-2.963058282941529953e+01
-3.416527339230938765e+01	-3.416527340712020333e+01	-2.924954972774102657e+01
-3.684642954313613927e+01	-3.684643042392954726e+01	-2.991090353095332333e+01
-3.951498290910438982e+01	-3.951498391683038136e+01	-2.946457395191172779e+01
-4.217276113633945300e+01	-4.217281854935818330e+01	-2.963602849899628566e+01
-4.482121391814413869e+01	-4.482127910779614410e+01	-2.954832444331722741e+01
-4.746151594609841595e+01	-4.746418983696335658e+01	-2.955811818246147737e+01
-5.009463649381309835e+01	-5.009757530557409666e+01	-2.949469217947763866e+01
-5.272139700533679729e+01	-5.279984271320171274e+01	-2.967575806178525610e+01
-5.534457393747487686e+01	-5.542505954031272353e+01	-2.988486650117630106e+01
